Shifts,1 Monday,2 Wednesday,3 (night) Friday,4 Sunday,5 Tuesday,6 (night) Thursday,7 Saturday,8 Monday
,,,,,,,,
New Rules,Weeds,Bins (Green & Brown),Christmas Lights,"Objects (boxes, couch, machines)","Objects allowed for 1 week (dumpster, storage)","Vehicles allowed for 1 week (RV, Boat, broken down)",,
"Once introduced, rules remain in place until specified",Grass (long),,,Windows,,,,
,Fences,,,,,,,
,,,,,,,,
,,,,,,,,
Permissions,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
,Warning,Warning,Warning,Warning,Warning,Warning,Warning,Warning
,,Fine,Fine,Fine,Fine,Fine,Fine,Fine
,,,,,,,,
,,,,,,,,
Flyers,,Missing Chaz,Thief,Poop Bandit,Missing Cat 3,,,
Must find the object,,,,,,,,
,,,,,,,,
,,,,,,,,
Events,,,Bribe (home with lights asks you not to issue warning),,,,,
Must decide a choice,,,,,,,,
,,,,,,,,
,,,,,,,,
Cameos,"Patrick, Savanna, Juniper","Jake, Sam, Gus","Garret, Sonya, Lani","CJ, Liz, Chaz","Patrick, Savanna, Juniper","Garret, Sonya, Lani","CJ, Liz, Chaz","Casey, Jess, Pellet"
,,"Casey, Jess, Pellet","Scott, Rachel, Moxy",,"Jake, Sam, Gus",,"Scott, Rachel, Moxy",
,,,,,,,,
,,,,,,,,
Ambient People,Yard: Random,Yard: Random,Yard: none,Yard: Random,Yard: Random,Yard: none,Yard: Random,Yard: Random
,Sidewalk: Random,Sidewalk: Random,Sidewalk: Random,Sidewalk: Random,Sidewalk: Random,Sidewalk: Random,Sidewalk: Random,Sidewalk: Random
,,,,,,,,
,,,,,,,,
Ambient Animals,Pablo,Pablo,Racoon,Pablo,Pablo,Racoon,Pablo,Pablo
,,,Armadillo,,,Armadillo,,
,,,Cat2,,,,,
